Metrics Report:
Time: 73, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 74, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 75, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 76, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 77, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 78, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 79, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 80, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 81, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 82, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 83, Total Blocks: 9, Malicious Blocks: 3, Avg Network Delay: 0.00 units
Time: 84, Total Blocks: 11, Malicious Blocks: 4, Avg Network Delay: 1.00 units
Time: 85, Total Blocks: 12, Malicious Blocks: 5, Avg Network Delay: 0.00 units
Time: 86, Total Blocks: 12, Malicious Blocks: 5, Avg Network Delay: 0.00 units
Time: 87, Total Blocks: 12, Malicious Blocks: 5, Avg Network Delay: 0.00 units
Time: 88, Total Blocks: 13, Malicious Blocks: 6, Avg Network Delay: 7.00 units
Time: 89, Total Blocks: 13, Malicious Blocks: 6, Avg Network Delay: 0.00 units
Time: 90, Total Blocks: 13, Malicious Blocks: 6, Avg Network Delay: 0.00 units
Time: 91, Total Blocks: 13, Malicious Blocks: 6, Avg Network Delay: 0.00 units
Time: 92, Total Blocks: 13, Malicious Blocks: 6, Avg Network Delay: 0.00 units
Time: 93, Total Blocks: 13, Malicious Blocks: 6, Avg Network Delay: 0.00 units
Time: 94, Total Blocks: 15, Malicious Blocks: 7, Avg Network Delay: 4.00 units
Time: 95, Total Blocks: 15, Malicious Blocks: 7, Avg Network Delay: 0.00 units
Time: 96, Total Blocks: 15, Malicious Blocks: 7, Avg Network Delay: 0.00 units
Time: 97, Total Blocks: 16, Malicious Blocks: 7, Avg Network Delay: 0.00 units
Time: 98, Total Blocks: 16, Malicious Blocks: 7, Avg Network Delay: 0.00 units
Time: 99, Total Blocks: 16, Malicious Blocks: 7, Avg Network Delay: 0.00 units
Time: 100, Total Blocks: 16, Malicious Blocks: 7, Avg Network Delay: 0.00 units
